claim_id,customer_id,claim_date,vehicle_type,damage_category,fault_type,description,estimated_cost_eur,actual_cost_eur,repair_duration_days,status
CLM-000438,CUST-025,2025-07-02,LKW,Fahrwerk,Vandalismus,Federbein gebrochen,2394.2,2310.02,2.0,abgeschlossen
CLM-000439,CUST-003,2023-11-22,Motorrad,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,1160.09,1039.93,2.0,abgeschlossen
CLM-000440,CUST-028,2025-08-30,Transporter,Interieur,Fremdverschulden,Lenkrad Lederbezug beschädigt,649.35,568.33,2.0,abgeschlossen
CLM-000441,CUST-001,2025-07-10,PKW,Motor,Eigenverschulden,"Turbolader defekt, Leistungsverlust",5092.7,4545.93,6.0,abgeschlossen
CLM-000442,CUST-029,2024-06-14,PKW,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",2414.3,2952.9,5.0,abgeschlossen
CLM-000443,CUST-002,2024-05-21,Transporter,Motor,Eigenverschulden,Kühlmittelverlust und Überhitzung,3940.75,4082.26,7.0,abgeschlossen
CLM-000444,CUST-026,2024-07-21,PKW,Interieur,Eigenverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,1318.06,1411.38,1.0,abgeschlossen
CLM-000445,CUST-012,2025-12-03,Motorrad,Karosserie,Teilschuld,Heckschaden durch Rückwärtsfahrt gegen Poller,,3193.9,8.0,abgeschlossen
CLM-000446,CUST-030,2025-09-19,PKW,Karosserie,Vandalismus,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3521.08,2867.39,4.0,abgeschlossen
CLM-000447,CUST-002,2024-05-04,Motorrad,Karosserie,Eigenverschulden,"Beule an der Beifahrertür, Ursache unbekannt",4272.59,4841.24,4.0,abgeschlossen
CLM-000448,CUST-012,2024-07-16,PKW,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,591.71,595.08,3.0,abgeschlossen
CLM-000449,CUST-029,2025-06-19,Transporter,Glas,Teilschuld,Heckscheibe durch Vandalismus eingeschlagen,1219.65,1181.36,1.0,abgeschlossen
CLM-000450,CUST-012,2023-06-08,PKW,Elektronik,Vandalismus,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",2935.49,3976.36,4.0,abgeschlossen
CLM-000451,CUST-012,2024-08-08,Transporter,Motor,Vandalismus,"Motor springt nicht an, Fehlermeldung im Display",3555.18,2818.7,10.0,abgeschlossen
CLM-000452,CUST-013,2024-04-25,Motorrad,Fahrwerk,Fremdverschulden,Schleifgeräusche beim Lenken,2405.71,2666.09,3.0,abgeschlossen
CLM-000453,CUST-011,2024-07-10,PKW,Glas,Eigenverschulden,Seitenscheibe hinten rechts gesprungen,772.18,940.51,1.0,abgeschlossen
CLM-000454,CUST-012,2024-11-18,Transporter,Interieur,Eigenverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,525.72,580.36,1.0,abgeschlossen
CLM-000455,CUST-012,2024-10-16,Transporter,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,640.16,805.26,3.0,abgeschlossen
CLM-000456,CUST-026,2026-01-11,PKW,Elektronik,Fremdverschulden,Fensterheber klemmt auf Fahrerseite,4648.95,4114.33,1.0,abgeschlossen
CLM-000457,CUST-002,2023-06-15,Transporter,Motor,Fremdverschulden,"Turbolader defekt, Leistungsverlust",4001.3,4517.22,2.0,abgeschlossen
CLM-000458,CUST-005,2023-10-11,Transporter,Karosserie,Fremdverschulden,Delle an der Fahrertür nach Parkplatzrempler,2279.78,2264.25,2.0,storniert
CLM-000459,CUST-028,2023-11-05,LKW,Fahrwerk,Fremdverschulden,Achsvermessung nötig nach Bordsteinberührung,2093.07,1490.37,1.0,abgeschlossen
CLM-000460,CUST-026,2024-04-18,PKW,Karosserie,Fremdverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,2747.59,2463.33,2.0,abgeschlossen
CLM-000461,CUST-011,2025-02-23,PKW,Karosserie,Eigenverschulden,Kratzer an der hinteren Stoßstange,2162.1,2630.29,4.0,abgeschlossen
CLM-000462,CUST-012,2023-11-09,PKW,Karosserie,Naturereignis,Frontschaden nach leichtem Auffahrunfall an Kreuzung,1476.08,1656.13,1.0,abgeschlossen
CLM-000463,CUST-005,2024-03-14,PKW,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,753.83,722.2,1.0,abgeschlossen
CLM-000464,CUST-002,2023-05-12,PKW,Glas,Naturereignis,Heckscheibe durch Vandalismus eingeschlagen,1286.71,1352.34,1.0,storniert
CLM-000465,CUST-012,2025-04-29,PKW,Karosserie,Fremdverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3680.14,4214.6,6.0,abgeschlossen
CLM-000466,CUST-008,2025-04-14,PKW,Motor,Eigenverschulden,Ungewöhnliche Geräusche aus dem Motorraum,4462.65,4052.82,2.0,abgeschlossen
CLM-000467,CUST-012,2024-11-08,PKW,Karosserie,Vandalismus,Delle an der Fahrertür nach Parkplatzrempler,1608.12,1409.02,5.0,storniert
CLM-000468,CUST-002,2026-01-16,PKW,Interieur,Eigenverschulden,Lenkrad Lederbezug beschädigt,3000.0,3560.11,3.0,wartend_auf_teile
CLM-000469,CUST-029,2025-08-12,PKW,Elektronik,Fremdverschulden,Batterie entlädt sich über Nacht,873.58,700.29,4.0,abgeschlossen
CLM-000470,CUST-029,2025-05-01,Motorrad,Karosserie,Eigenverschulden,Seitliche Beschädigung nach Auffahrunfall,3520.41,3809.4,6.0,abgeschlossen
CLM-000471,CUST-013,2023-05-08,Transporter,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,1140.36,1096.75,5.0,abgeschlossen
CLM-000472,CUST-012,2024-02-28,PKW,Elektronik,Naturereignis,Scheinwerfer fallen sporadisch aus,1612.29,1691.59,1.0,abgeschlossen
CLM-000473,CUST-008,2025-05-10,PKW,Interieur,Teilschuld,Sitzheizung defekt,1071.72,714.95,1.0,storniert
CLM-000474,CUST-021,2025-03-08,Motorrad,Karosserie,Eigenverschulden,Kratzer an der hinteren Stoßstange,2466.36,2151.38,2.0,abgeschlossen
CLM-000475,CUST-013,2023-02-10,LKW,Elektronik,Teilschuld,Klimaanlage funktioniert nicht mehr,1873.84,2712.92,2.0,abgeschlossen
CLM-000476,CUST-002,2025-02-18,Transporter,Karosserie,Eigenverschulden,Kratzer an der hinteren Stoßstange,3324.72,3168.36,7.0,abgeschlossen
CLM-000477,CUST-026,2025-09-03,PKW,Interieur,Fremdverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,1627.78,1745.64,1.0,abgeschlossen
CLM-000478,CUST-021,2023-01-13,Transporter,Motor,Fremdverschulden,,6497.68,7089.15,5.0,abgeschlossen
CLM-000479,CUST-028,2024-12-21,PKW,Karosserie,Eigenverschulden,Delle an der Fahrertür nach Parkplatzrempler,7736.23,6423.91,7.0,abgeschlossen
CLM-000480,CUST-015,2024-09-03,PKW,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,1098.25,945.64,3.0,abgeschlossen
CLM-000481,CUST-012,2025-03-09,LKW,Motor,Eigenverschulden,"Motor springt nicht an, Fehlermeldung im Display",6952.87,5994.74,6.0,abgeschlossen
CLM-000482,CUST-010,2025-05-08,PKW,Karosserie,Naturereignis,Heckschaden durch Rückwärtsfahrt gegen Poller,2245.57,2146.17,5.0,abgeschlossen
CLM-000483,CUST-026,2026-01-07,LKW,Elektronik,Naturereignis,Fensterheber klemmt auf Fahrerseite,2796.29,3181.53,3.0,abgeschlossen
CLM-000484,CUST-024,2026-01-23,PKW,Karosserie,Naturereignis,Frontschaden nach leichtem Auffahrunfall an Kreuzung,1484.06,1496.29,6.0,storniert
CLM-000485,CUST-002,2024-03-27,LKW,Karosserie,Eigenverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,1940.32,1574.03,3.0,abgeschlossen
CLM-000486,CUST-002,2025-09-26,LKW,Motor,Vandalismus,Ungewöhnliche Geräusche aus dem Motorraum,4725.1,4506.46,8.0,abgeschlossen
CLM-000487,CUST-009,2024-03-25,Motorrad,Interieur,Vandalismus,Sitzheizung defekt,3000.0,3194.83,7.0,abgeschlossen
CLM-000488,CUST-021,2024-07-12,PKW,Fahrwerk,Fremdverschulden,Federbein gebrochen,1037.83,949.91,4.0,abgeschlossen
CLM-000489,CUST-029,2025-06-11,Transporter,Motor,Eigenverschulden,"Turbolader defekt, Leistungsverlust",8776.6,11526.01,8.0,abgeschlossen
CLM-000490,CUST-002,2025-09-21,PKW,Fahrwerk,Eigenverschulden,Schleifgeräusche beim Lenken,935.14,671.44,4.0,abgeschlossen
CLM-000491,CUST-012,2023-03-01,PKW,Interieur,Eigenverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,,2769.31,1.0,abgeschlossen
CLM-000492,CUST-009,2025-03-07,PKW,Elektronik,Fremdverschulden,Infotainment-System reagiert nicht,1112.09,1201.27,7.0,storniert
CLM-000493,CUST-029,2024-11-19,Transporter,Karosserie,Eigenverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,740.65,741.03,3.0,abgeschlossen
CLM-000494,CUST-023,2025-04-08,PKW,Interieur,Eigenverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,1209.53,1377.22,1.0,abgeschlossen
CLM-000495,CUST-023,2023-12-05,LKW,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,1034.0,1047.29,1.0,abgeschlossen
CLM-000496,CUST-012,2025-08-15,PKW,Elektronik,Fremdverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",1080.77,1122.17,4.0,abgeschlossen
CLM-000497,CUST-010,2023-09-19,PKW,Motor,Vandalismus,Kühlmittelverlust und Überhitzung,3366.0,3159.95,7.0,abgeschlossen
CLM-000498,CUST-005,2025-12-29,PKW,Glas,Teilschuld,Steinschlag in der Windschutzscheibe,526.76,578.21,1.0,wartend_auf_teile
CLM-000499,CUST-002,2023-02-25,LKW,Fahrwerk,Eigenverschulden,Stoßdämpfer vorne links defekt,3174.54,3062.82,5.0,abgeschlossen
CLM-000500,CUST-024,2025-03-17,LKW,Motor,Fremdverschulden,Ungewöhnliche Geräusche aus dem Motorraum,5368.33,4201.85,3.0,abgeschlossen
CLM-000501,CUST-021,2023-02-25,PKW,Elektronik,Eigenverschulden,Infotainment-System reagiert nicht,1477.79,1466.66,2.0,abgeschlossen
CLM-000502,CUST-030,2023-06-21,Motorrad,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,5000.0,4166.02,4.0,abgeschlossen
CLM-000503,CUST-030,2025-05-27,PKW,Interieur,Fremdverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,2134.87,2454.09,5.0,abgeschlossen
CLM-000504,CUST-012,2023-10-05,PKW,Elektronik,Fremdverschulden,Batterie entlädt sich über Nacht,1975.27,2496.33,1.0,abgeschlossen
CLM-000505,CUST-018,2025-08-03,Motorrad,Karosserie,Naturereignis,Lackschaden durch Vandalismus am vorderen Kotflügel,3332.41,3526.94,1.0,abgeschlossen
CLM-000506,CUST-027,2024-01-08,PKW,Karosserie,Naturereignis,,2694.15,3188.62,2.0,abgeschlossen
CLM-000507,CUST-024,2023-04-13,Transporter,Karosserie,Fremdverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,4786.88,4337.62,1.0,abgeschlossen
CLM-000508,CUST-004,2024-06-16,Transporter,Motor,Naturereignis,Ölverlust unter dem Fahrzeug festgestellt,2723.11,2640.2,8.0,abgeschlossen
CLM-000509,CUST-010,2025-02-15,PKW,Karosserie,Eigenverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,1854.52,1836.85,6.0,storniert
CLM-000510,CUST-002,2024-11-01,PKW,Karosserie,Eigenverschulden,Kratzer an der hinteren Stoßstange,5136.45,4784.11,5.0,abgeschlossen
CLM-000511,CUST-028,2024-03-09,Transporter,Elektronik,Fremdverschulden,Scheinwerfer fallen sporadisch aus,,1694.92,5.0,abgeschlossen
CLM-000512,CUST-012,2025-07-20,PKW,Glas,Eigenverschulden,Seitenscheibe hinten rechts gesprungen,1324.61,878.17,1.0,abgeschlossen
CLM-000513,CUST-003,2024-10-31,PKW,Karosserie,Eigenverschulden,Lackschaden durch Vandalismus am vorderen Kotflügel,2042.74,2107.48,3.0,abgeschlossen
CLM-000514,CUST-013,2024-11-22,PKW,Karosserie,Fremdverschulden,Lackschaden durch Vandalismus am vorderen Kotflügel,5041.39,4669.41,,abgeschlossen
CLM-000515,CUST-012,2025-02-15,Transporter,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",671.73,734.17,1.0,storniert
CLM-000516,CUST-008,2024-07-23,PKW,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,630.79,518.23,1.0,abgeschlossen
CLM-000517,CUST-002,2025-05-13,PKW,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,1256.35,1221.58,2.0,abgeschlossen
CLM-000518,CUST-013,2024-05-31,PKW,Glas,Teilschuld,Riss in der Frontscheibe breitet sich aus,640.52,428.61,,abgeschlossen
CLM-000519,CUST-012,2023-06-17,LKW,Karosserie,Teilschuld,Seitliche Beschädigung nach Auffahrunfall,4332.64,5161.18,6.0,abgeschlossen
CLM-000520,CUST-019,2025-08-21,PKW,Glas,Vandalismus,Steinschlag in der Windschutzscheibe,1200.41,995.56,1.0,abgeschlossen
CLM-000521,CUST-012,2023-02-09,PKW,Glas,Teilschuld,Steinschlag in der Windschutzscheibe,783.61,782.84,1.0,abgeschlossen
CLM-000522,CUST-024,2026-01-09,PKW,Elektronik,Naturereignis,Scheinwerfer fallen sporadisch aus,2315.86,2548.03,1.0,abgeschlossen
CLM-000523,CUST-012,2023-04-17,Transporter,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,600.38,607.76,1.0,abgeschlossen
CLM-000524,CUST-012,2024-12-17,Motorrad,Elektronik,Fremdverschulden,Klimaanlage funktioniert nicht mehr,2157.66,2628.84,4.0,abgeschlossen
CLM-000525,CUST-025,2024-04-04,Transporter,Karosserie,Teilschuld,Kratzer an der hinteren Stoßstange,3934.94,4400.67,2.0,abgeschlossen
CLM-000526,CUST-009,2023-05-21,PKW,Fahrwerk,Eigenverschulden,Federbein gebrochen,2155.13,2611.09,4.0,abgeschlossen
CLM-000527,CUST-002,2023-03-24,PKW,Motor,Vandalismus,Kühlmittelverlust und Überhitzung,6464.2,5629.26,7.0,abgeschlossen
CLM-000528,CUST-002,2023-03-05,PKW,Karosserie,Fremdverschulden,Seitliche Beschädigung nach Auffahrunfall,5580.78,6165.01,3.0,abgeschlossen
CLM-000529,CUST-018,2024-05-21,PKW,Glas,Naturereignis,Heckscheibe durch Vandalismus eingeschlagen,694.46,644.51,1.0,abgeschlossen
CLM-000530,CUST-012,2024-02-13,PKW,Elektronik,Naturereignis,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",1991.07,2129.41,3.0,storniert
CLM-000531,CUST-013,2023-02-11,Transporter,Fahrwerk,Naturereignis,Achsvermessung nötig nach Bordsteinberührung,2280.93,2387.44,1.0,abgeschlossen
CLM-000532,CUST-003,2023-11-09,LKW,Karosserie,Fremdverschulden,Lackschaden durch Vandalismus am vorderen Kotflügel,6472.89,7513.29,6.0,abgeschlossen
CLM-000533,CUST-002,2024-05-03,PKW,Karosserie,Naturereignis,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3043.36,3473.07,2.0,abgeschlossen
CLM-000534,CUST-001,2023-09-16,LKW,Elektronik,Fremdverschulden,Fensterheber klemmt auf Fahrerseite,1024.42,1085.57,4.0,abgeschlossen
CLM-000535,CUST-008,2025-08-27,PKW,Elektronik,Teilschuld,Scheinwerfer fallen sporadisch aus,4242.01,4103.27,8.0,abgeschlossen
CLM-000536,CUST-012,2023-08-23,Transporter,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,567.27,511.78,1.0,abgeschlossen
CLM-000537,CUST-009,2024-03-22,Transporter,Elektronik,Eigenverschulden,Batterie entlädt sich über Nacht,995.58,878.39,3.0,abgeschlossen
CLM-000538,CUST-010,2025-08-10,PKW,Glas,Naturereignis,Riss in der Frontscheibe breitet sich aus,720.11,568.29,1.0,abgeschlossen
CLM-000539,CUST-026,2024-06-08,PKW,Karosserie,Vandalismus,Frontschaden nach leichtem Auffahrunfall an Kreuzung,2788.36,3165.74,6.0,abgeschlossen
CLM-000540,CUST-008,2025-01-25,PKW,Elektronik,Fremdverschulden,Klimaanlage funktioniert nicht mehr,1090.36,1338.84,1.0,abgeschlossen
CLM-000541,CUST-012,2023-12-10,PKW,Elektronik,Teilschuld,Scheinwerfer fallen sporadisch aus,2216.17,2558.76,3.0,abgeschlossen
CLM-000542,CUST-019,2023-08-23,PKW,Karosserie,Fremdverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,1991.18,2246.41,2.0,storniert
CLM-000543,CUST-009,2023-12-02,LKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,1602.68,1816.7,3.0,abgeschlossen
CLM-000544,CUST-012,2024-09-29,Transporter,Karosserie,Eigenverschulden,Delle an der Fahrertür nach Parkplatzrempler,3014.89,3265.09,2.0,abgeschlossen
CLM-000545,CUST-024,2023-08-10,PKW,Karosserie,Fremdverschulden,Hagelschaden auf Motorhaube und Dach,1537.02,1330.66,5.0,storniert
CLM-000546,CUST-028,2023-02-22,Transporter,Karosserie,Naturereignis,Heckschaden durch Rückwärtsfahrt gegen Poller,3729.44,3198.92,2.0,abgeschlossen
CLM-000547,CUST-002,2024-09-30,PKW,Motor,Eigenverschulden,Ölverlust unter dem Fahrzeug festgestellt,6639.26,5277.74,7.0,abgeschlossen
CLM-000548,CUST-026,2025-02-07,PKW,Motor,Vandalismus,Zahnriemen gerissen bei Autobahnfahrt,8048.49,6560.5,6.0,abgeschlossen
CLM-000549,CUST-012,2025-03-23,PKW,Glas,Naturereignis,Riss in der Frontscheibe breitet sich aus,1142.31,1249.51,1.0,abgeschlossen
CLM-000550,CUST-004,2024-02-11,PKW,Elektronik,Eigenverschulden,Klimaanlage funktioniert nicht mehr,1211.67,1317.45,2.0,abgeschlossen
CLM-000551,CUST-011,2023-06-05,LKW,Karosserie,Eigenverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3151.46,2896.74,2.0,storniert
CLM-000552,CUST-029,2024-05-12,PKW,Karosserie,Naturereignis,Delle an der Fahrertür nach Parkplatzrempler,1670.91,1179.0,3.0,abgeschlossen
CLM-000553,CUST-012,2023-07-28,Motorrad,Interieur,Teilschuld,Lenkrad Lederbezug beschädigt,1222.8,935.78,4.0,abgeschlossen
CLM-000554,CUST-008,2024-09-09,PKW,Karosserie,Fremdverschulden,"Beule an der Beifahrertür, Ursache unbekannt",2901.75,2787.08,2.0,abgeschlossen
CLM-000555,CUST-012,2023-09-05,PKW,Interieur,Naturereignis,Mittelkonsole gebrochen,1441.79,1376.47,3.0,abgeschlossen
CLM-000556,CUST-003,2023-03-26,PKW,Karosserie,Fremdverschulden,Hagelschaden auf Motorhaube und Dach,2346.49,2604.09,6.0,abgeschlossen
CLM-000557,CUST-002,2024-12-12,PKW,Karosserie,Eigenverschulden,Seitliche Beschädigung nach Auffahrunfall,3271.25,3426.38,2.0,abgeschlossen
CLM-000558,CUST-002,2025-12-27,PKW,Motor,Fremdverschulden,Ölverlust unter dem Fahrzeug festgestellt,6659.41,5125.51,3.0,abgeschlossen
CLM-000559,CUST-002,2025-05-27,PKW,Karosserie,Eigenverschulden,Lackschaden durch Vandalismus am vorderen Kotflügel,4039.16,4410.24,5.0,abgeschlossen
CLM-000560,CUST-002,2025-01-28,PKW,Karosserie,Fremdverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,1664.13,1603.2,2.0,abgeschlossen
CLM-000561,CUST-002,2023-05-22,LKW,Karosserie,Fremdverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,,2658.09,7.0,abgeschlossen
CLM-000562,CUST-013,2025-11-02,Transporter,Karosserie,Eigenverschulden,"Beule an der Beifahrertür, Ursache unbekannt",3269.29,3971.22,4.0,abgeschlossen
CLM-000563,CUST-002,2024-11-29,Transporter,Motor,Vandalismus,"Motor springt nicht an, Fehlermeldung im Display",9045.62,7265.14,5.0,abgeschlossen
CLM-000564,CUST-008,2023-01-26,PKW,Glas,Eigenverschulden,Seitenscheibe hinten rechts gesprungen,1182.86,1418.65,1.0,abgeschlossen
CLM-000565,CUST-026,2025-05-10,LKW,Elektronik,Vandalismus,,2082.96,2423.83,4.0,abgeschlossen
CLM-000566,CUST-012,2025-09-30,PKW,Motor,Naturereignis,Ungewöhnliche Geräusche aus dem Motorraum,14404.39,16616.28,9.0,abgeschlossen
CLM-000567,CUST-013,2023-08-05,PKW,Glas,Naturereignis,Heckscheibe durch Vandalismus eingeschlagen,981.72,1135.62,1.0,abgeschlossen
CLM-000568,CUST-002,2025-06-06,PKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,2974.53,2985.2,5.0,abgeschlossen
CLM-000569,CUST-003,2025-01-11,PKW,Karosserie,Naturereignis,Lackschaden durch Vandalismus am vorderen Kotflügel,2320.86,2865.13,2.0,abgeschlossen
CLM-000570,CUST-002,2025-07-30,PKW,Glas,Teilschuld,Seitenscheibe hinten rechts gesprungen,575.62,707.93,1.0,abgeschlossen
CLM-000571,CUST-002,2023-11-10,PKW,Karosserie,Teilschuld,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3552.23,2806.63,3.0,abgeschlossen
CLM-000572,CUST-005,2025-06-10,PKW,Karosserie,Fremdverschulden,Seitliche Beschädigung nach Auffahrunfall,3324.99,2277.6,5.0,abgeschlossen
CLM-000573,CUST-002,2023-12-27,PKW,Motor,Vandalismus,"Motor springt nicht an, Fehlermeldung im Display",7200.51,8156.63,8.0,abgeschlossen
CLM-000574,CUST-002,2025-12-04,PKW,Elektronik,Eigenverschulden,Batterie entlädt sich über Nacht,1276.61,1300.27,1.0,abgeschlossen
CLM-000575,CUST-002,2024-07-07,PKW,Karosserie,Eigenverschulden,Seitliche Beschädigung nach Auffahrunfall,7350.16,6792.56,5.0,abgeschlossen
CLM-000576,CUST-011,2026-01-07,PKW,Fahrwerk,Fremdverschulden,Schleifgeräusche beim Lenken,1217.11,1487.61,2.0,abgeschlossen
CLM-000577,CUST-003,2025-09-17,Transporter,Karosserie,Fremdverschulden,Seitliche Beschädigung nach Auffahrunfall,7381.2,7385.29,2.0,abgeschlossen
CLM-000578,CUST-008,2025-08-10,Motorrad,Motor,Eigenverschulden,Ungewöhnliche Geräusche aus dem Motorraum,8733.18,10490.48,9.0,abgeschlossen
CLM-000579,CUST-012,2025-06-11,PKW,Karosserie,Fremdverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,1908.66,1769.72,7.0,abgeschlossen
CLM-000580,CUST-013,2024-07-03,PKW,Interieur,Naturereignis,Mittelkonsole gebrochen,1899.81,2379.99,1.0,abgeschlossen
CLM-000581,CUST-002,2024-10-22,PKW,Glas,Eigenverschulden,Riss in der Frontscheibe breitet sich aus,1148.37,996.82,1.0,abgeschlossen
CLM-000582,CUST-020,2024-05-17,PKW,Motor,Eigenverschulden,,14223.96,13091.08,7.0,abgeschlossen
CLM-000583,CUST-012,2023-06-27,Transporter,Interieur,Fremdverschulden,Sitzheizung defekt,868.27,912.86,2.0,abgeschlossen
CLM-000584,CUST-002,2024-07-25,LKW,Karosserie,Eigenverschulden,Seitliche Beschädigung nach Auffahrunfall,6017.81,6788.67,6.0,abgeschlossen
CLM-000585,CUST-025,2025-07-12,Transporter,Interieur,Fremdverschulden,Lenkrad Lederbezug beschädigt,1263.33,1351.12,1.0,abgeschlossen
CLM-000586,CUST-026,2024-05-14,Motorrad,Karosserie,Vandalismus,Lackschaden durch Vandalismus am vorderen Kotflügel,2827.52,3064.24,2.0,abgeschlossen
CLM-000587,CUST-002,2025-08-09,PKW,Glas,Teilschuld,Seitenscheibe hinten rechts gesprungen,244.66,233.77,1.0,abgeschlossen
CLM-000588,CUST-005,2025-02-15,PKW,Karosserie,Fremdverschulden,Delle an der Fahrertür nach Parkplatzrempler,3121.47,2582.54,1.0,storniert
CLM-000589,CUST-021,2024-11-19,PKW,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,1051.34,1019.09,1.0,abgeschlossen
CLM-000590,CUST-017,2023-02-28,PKW,Karosserie,Naturereignis,Lackschaden durch Vandalismus am vorderen Kotflügel,,8225.37,7.0,storniert
CLM-000591,CUST-002,2025-10-09,LKW,Motor,Vandalismus,Zahnriemen gerissen bei Autobahnfahrt,4172.41,4078.01,3.0,abgeschlossen
CLM-000592,CUST-003,2024-10-27,PKW,Interieur,Eigenverschulden,Lenkrad Lederbezug beschädigt,989.4,922.37,1.0,abgeschlossen
CLM-000593,CUST-008,2024-01-08,PKW,Interieur,Eigenverschulden,Sitzheizung defekt,1131.82,1003.08,4.0,abgeschlossen
CLM-000594,CUST-012,2025-09-25,LKW,Karosserie,Eigenverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,1571.98,1718.81,2.0,storniert
CLM-000595,CUST-012,2024-03-10,PKW,Glas,Fremdverschulden,Steinschlag in der Windschutzscheibe,1187.28,1044.04,3.0,storniert
CLM-000596,CUST-008,2024-12-27,PKW,Glas,Fremdverschulden,Steinschlag in der Windschutzscheibe,1356.05,1227.58,1.0,abgeschlossen
CLM-000597,CUST-012,2024-06-13,PKW,Elektronik,Fremdverschulden,,1948.32,2188.06,2.0,abgeschlossen
CLM-000598,CUST-017,2024-11-28,Transporter,Karosserie,Fremdverschulden,"Beule an der Beifahrertür, Ursache unbekannt",,2906.13,4.0,abgeschlossen
CLM-000599,CUST-002,2024-07-26,PKW,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,1326.0,1286.92,1.0,abgeschlossen
CLM-000600,CUST-004,2024-07-19,PKW,Karosserie,Teilschuld,Lackschaden durch Vandalismus am vorderen Kotflügel,2496.06,2216.53,4.0,abgeschlossen
CLM-000601,CUST-014,2026-02-12,PKW,Motor,Eigenverschulden,"Motor springt nicht an, Fehlermeldung im Display",4821.14,3701.22,5.0,storniert
CLM-000602,CUST-026,2023-01-21,PKW,Karosserie,Eigenverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,2164.23,2071.75,1.0,storniert
CLM-000603,CUST-012,2025-11-24,Transporter,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,762.47,734.85,1.0,abgeschlossen
CLM-000604,CUST-012,2024-01-27,PKW,Interieur,Vandalismus,Sitzheizung defekt,995.45,1067.04,1.0,abgeschlossen
CLM-000605,CUST-002,2023-06-25,Transporter,Karosserie,Eigenverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,4284.06,3866.52,3.0,abgeschlossen
CLM-000606,CUST-010,2024-05-09,PKW,Motor,Fremdverschulden,Zahnriemen gerissen bei Autobahnfahrt,2885.79,2434.72,3.0,abgeschlossen
CLM-000607,CUST-012,2025-04-12,PKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,2168.51,2054.04,6.0,abgeschlossen
CLM-000608,CUST-004,2025-09-27,PKW,Glas,Teilschuld,Seitenscheibe hinten rechts gesprungen,589.73,475.08,2.0,abgeschlossen
CLM-000609,CUST-004,2026-02-11,PKW,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",1366.6,1403.79,4.0,abgeschlossen
CLM-000610,CUST-009,2024-05-07,PKW,Motor,Naturereignis,"Turbolader defekt, Leistungsverlust",,6498.66,6.0,abgeschlossen
